slang,formal,In-dictionary,context,category1,,
gemesiin,menggemaskan,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,afiksasi,,
menyenangkn,menyenangkan,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,,
rb,ribu,1,??jilbab segi empat rawis 100rb dapat 5jilbab ? dan segi empat lace 100rb dapat 4jilbab ?,abreviasi,,
akau,aku,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,anaptiksis,,
saranin,menyarankan,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,afiksasi,,
nemuin,menemukan,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,afiksasi,,
yah,ya,1,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,anaptiksis,,
met,selamat,1,Met ultah kak tulus....,abreviasi,,
mnis2nya,manis-manisnya,0,Ada mnis2nya gtu ?,reduplikasi,,
gtu,begitu,1,gtu,abreviasi,,
tu,itu,1,Diet pak . dah montok tu . hihi . love 4 voice tulus,zeroisasi,,
idolaa,idola,1,Happy birthday ka @tulusm idolaa bangett???,elongasi,,
bangett,banget,1,Happy birthday ka @tulusm idolaa bangett???,elongasi,,
"kaakk,kak,1,""Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?"",elongasi,0,0;;",,,,,,
"baaiikkk,baik,1,""Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?"",elongasi,0,0;;",,,,,,
"telaatt,telat,1,""Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?"",elongasi,0,0;;",,,,,,
"kaak,kak,1,""selamat ulang tahun kaak, sukses selalu.. @tulusm"",elongasi,0,0;;",,,,,,
yg,yang,1,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,abreviasi,,
lg,lagi,1,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,abreviasi,,
skarang,sekarang,1,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,zeroisasi,,
"yg,yang,1,""Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)"",abreviasi,0,0;;",,,,,,
"sempet,sempat,1,""Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)"",modifikasi vokal,0,0;;",,,,,,
"karna,karena,1,""Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)"",zeroisasi,0,0;;",,,,,,
"ngga,enggak,1,""Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)"",zeroisasi,0,0;;",,,,,,
"karna,karena,1,""Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)"",zeroisasi,0,0;;",,,,,,
"mantep,mantap,1,""Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)"",modifikasi vokal,0,0;;",,,,,,
loohhh,loh,1,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,elongasi,,
yeee,ya,1,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,elongasi,,
baguuuuus,bagus,1,Baguuuuus banget....,elongasi,,
"sampe,sampai,1,""Keren bor, sampe ngikutin gayany hahaha"",monoftongisasi,0,0;;",,,,,,
"ngikutin,mengikuti,1,""Keren bor, sampe ngikutin gayany hahaha"",afiksasi,0,0;;",,,,,,
"gayany,gayanya,0,""Keren bor, sampe ngikutin gayany hahaha"",abreviasi,0,0;;",,,,,,
ngikutin,mengikuti,1,Sering ngikutin gaya nya lg nyanyi,afiksasi,,
lg,lagi,1,Sering ngikutin gaya nya lg nyanyi,abreviasi,,
bnk,bang,1,TOP bnk ariel... gaya g,abreviasi,,
awaas,awas,1,Minta rokok ny dong awaas to kena jari...,elongasi,,
siip,sip,1,Siip bang ariel,elongasi,,
abizzzz,habis,1,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,elongasi,,
kerrrrennnn,keren,1,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,elongasi,,
sayaa,saya,1,kayak pacar sayaa wendel's ?,elongasi,,
pengen,pengin,1,Pengen duet Tapi kapan?,modifikasi vokal,,
kpan,kapan,1,Noah kpan kemedan?,abreviasi,,
"bgt,banget,1,""Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya"",abreviasi,0,0;;",,,,,,
"sma,sama,1,""Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya"",abreviasi,0,0;;",,,,,,
"sdkit,sedikit,1,""Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya"",abreviasi,0,0;;",,,,,,
bngt,banget,1,Ku suka bngt lgu nya,abreviasi,,
lgu,lagu,1,Ku suka bngt lgu nya,abreviasi,,
bener2,benar-benar,1,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,reduplikasi,,
kharismanya,karismanya,1,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,anaptiksis,,
aq,aku,1,Lagu kesukaan aq banget @ariel_nazril_irham,abreviasi,,
yg,yang,1,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,,
jdi,jadi,1,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,,
lgi,lagi,1,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,,
gk,enggak,1,Keren gk no @mutiaranovashadiqah,abreviasi,,
kek,kayak,1,Kek gua hahahaha @mutiaranovashadiqah,abreviasi,,
lgunya,lagunya,0,Ini judul lgunya apa ya??,abreviasi,,
kpan,kapan,1,Kak Kpan Konser Di Surabaya,abreviasi,,
kereeeeennnn,keren,1,Kereeeeennnn boriel,elongasi,,
nyamain,menyamakan,1,@ariel_nazril_irham tidak ada yg bisa nyamain . Mentok,afiksasi,,
slalu,selalu,1,Rokok slalu membuat ariel semakin lakik,zeroisasi,,
lakik,laki,1,Rokok slalu membuat ariel semakin lakik,anaptiksis,,
siippp,sip,1,Siippp siippp,elongasi,,
bkn,bukan,1,Iya bener itu di korea bkn,abreviasi,,
nyangka,menyangka,1,Aku ga nyangka itu korea,afiksasi,,
bangettt,banget,1,Indah bangettt ???,elongasi,,
kereeen,keren,1,Kereeen banget ?,elongasi,,
wihhhhhh,wih,1,Wihhhhhh...,elongasi,,
"tp,tapi,1,""Keren!? tp jadi inget nya lirik lagu ini """"we can't stop stop stop yeogin PARTY time..."""" #SNSD"",abreviasi,0,0;;",,,,,,
"inget,ingat,1,""Keren!? tp jadi inget nya lirik lagu ini """"we can't stop stop stop yeogin PARTY time..."""" #SNSD"",modifikasi vokal,0,0;;",,,,,,
bingitsss,banget,1,Snsd bingitsss,modifikasi vokal,,
dmn,dimana,0,Dmn itu air nya bird bgt,abreviasi,,
bird,biru,1,Dmn itu air nya bird bgt,salah ketik,,
kaloo,kalo,1,Kaloo Kelewat Gimna Tuuh,elongasi,,
gimna,bagaimana,1,Kaloo Kelewat Gimna Tuuh,abreviasi,,
tuuh,tuh,0,Kaloo Kelewat Gimna Tuuh,elongasi,,
nyebur,mencebur,1,Kalo kelewat ya nyebur,afiksasi,,
yng,yang,1,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,,
dbuat,dibuat,0,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,,
kn,kan,1,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,,
"org,orang,1,""Mana mungkin shot di bali, rame org"",abreviasi,0,0;;",,,,,,
pingin,pengin,1,@afahalwa pingin aku,modifikasi vokal,,
bgt,banget,1,Mau bgt kagitu @jusinidelashlifah,abreviasi,,
tu,itu,1,Dimana tu ka,zeroisasi,,
bangcat,bangsat,1,Ko bangcat yha :') @bilavkcb,subtitusi,,
yha,ya,1,Ko bangcat yha :') @bilavkcb,anaptiksis,,
"waoohhh,wah,1,""Waoohhh indah nya,jdi pngn ke tmpt itu dhe"",elongasi,anaptiksis,0;;",,,,,,
"pngn,pengin,1,""Waoohhh indah nya,jdi pngn ke tmpt itu dhe"",abreviasi,0,0;;",,,,,,
"tmpt,tempat,1,""Waoohhh indah nya,jdi pngn ke tmpt itu dhe"",abreviasi,0,0;;",,,,,,
"dhe,deh,1,""Waoohhh indah nya,jdi pngn ke tmpt itu dhe"",homofon,0,0;;",,,,,,
indahhh,indah,1,Indahhh bgttt di mana tuhh,elongasi,,
bgttt,banget,1,Indahhh bgttt di mana tuhh,abreviasi,,
tuhh,tuh,0,Indahhh bgttt di mana tuhh,elongasi,,
berarto,berarti,1,Lh-lho berarto snsd ke indo? @bethaniamaureen,salah ketik,,
"ga,enggak,1,""ga cell itu sg ndk bali, sg py e snsd ternyata ndk thailand namae lek ga salah koh samui island"",abreviasi,zeroisasi,0;;",,,,,,
aminn,amin,1,Aminn,elongasi,,
aamiin,amin,1,Aamiin,elongasi,,
amiiinn,amin,1,Amiiinn,elongasi,,
"dgn,dengan,1,""Di antara 77 korban AIRASIA yg warga Surabaya, 6 orang ( 5 dewasa, 1 anak SD, dalam 1 keluarga) adalah tetangga saya, Semoga arwah mereka semua diterima dgn baik di sisi Tuhan,, Amin"",abreviasi,0,0;;",,,,,,
aminnnn2,amin-amin,0,Aminnnn2 @fendi_dbonno9414,elongasi,,
amiin,amin,1,Amiin ya robbal alamin,elongasi,,
aamiin,amin,1,Aamiin..,elongasi,,
amiiiin,amin,1,Amiiiin ya robal alamin.,elongasi,,
amiin,amin,1,Amiin,elongasi,,
aminnn,amin,1,Aminnn,elongasi,,
amiend,amien,1,Amiend ya Allah,anaptiksis,,
yaaa,ya,1,@isafitriani @nisaayuasmara @unie_emilia @nabilanatasya9 @sasmirayanti mau kalung murah & cantik? cek ig kita yaaa??,elongasi,,
ameen,amin,1,Ameen,modifikasi vokal,,
aminnnn,amin,1,Aminnnn,elongasi,,
amiiinnn,amin,1,Amiiinnn,elongasi,,
kek,kayak,1,yang kek perut aku ya??? @mfahmifachrudin,abreviasi,,
ngomong,mengomong,1,@fawwaz_said.11 lu ngomong jorok kagak inget dosa?,afiksasi,,
inget,ingat,1,@fawwaz_said.11 lu ngomong jorok kagak inget dosa?,modifikasi vokal,,
mamer,memamerkan,1,Lo mamer aurat lebih dosa keles,afiksasi,,
keles,kali,1,Lo mamer aurat lebih dosa keles,coinage,,
jelase,jelas,1,Iki lebih jelase @oktaviajr,anaptiksis,,
liat,lihat,1,Liat loh uwakk @graciags,zeroisasi,,
uwakk,uwak,1,Liat loh uwakk @graciags,elongasi,,
ntar,entar,1,@virakysh ntar kita bs gini,zeroisasi,,
bs,bisa,1,@virakysh ntar kita bs gini,abreviasi,,
gini,begini,1,@virakysh ntar kita bs gini,abreviasi,,
jgn,jangan,1,@xocacola adek jgn sampe masuk angin yaa ?,abreviasi,,
sampe,sampai,1,@xocacola adek jgn sampe masuk angin yaa ?,monoftongisasi,,
aq,aku,1,@xocacola adek jgn sampe masuk angin yaa ?,abreviasi,,
salfok,salah fokus,0,Salfok:v @fad.fdh @auliyya_naural,akronim,,
njir,anjir,1,Njir pink haha @standy.gigih,zeroisasi,,
piiink,pink,0,Piiink,elongasi,,
astgfrullah,astagfirullah,1,astgfrullah?,abreviasi,,
ko,kok,1,Aneh ko cd di perlihatkan,zeroisasi,,
cd,celana dalam,0,Aneh ko cd di perlihatkan,akronim,,
gbs,enggak bisa,0,Gbs bhs inggris ?,akronim,,
bhs,bahasa,1,Gbs bhs inggris ?,abreviasi,,
yaaaaaa,ya,1,Cantiknya Yaaaaaa,elongasi,,
gak,enggak,1,Gak maksud,zeroisasi,,
bangshad,bangsat,1,Bangshad @salisaokta,anaptiksis,,
yaa,ya,1,Selow lagi proses yaa? @geareani08,elongasi,,
stagahhhh,astaga,1,Kakinya stagahhhh,anaptiksis,,
"kpn,kapan,1,""Dinda otw,kon kpn @sakinaabsyn12"",abreviasi,0,0;;",,,,,,
iooo,lo,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,salah ketik,,
dy,dia,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,homofon,,
d,ada,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,,
mslh,masalah,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,,
qt,kita,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,,
jdi,jadi,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,,
plampiasannn,pelampiasan,1,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,elongasi,,
"masalahh,masalah,1,""Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"",elongasi,0,0;;",,,,,,
"tohh,toh,1,""Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"",elongasi,0,0;;",,,,,,
"inghinn,ingin,1,""Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"",elongasi,anaptiksis,0;;",,,,,,
"dhi,di,1,""Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"",anaptiksis,0,0;;",,,,,,
"mengherthii,mengerti,1,""Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"",anaptiksis,elongasi,0;;",,,,,,
yanckh,yang,1,Febhi yanckh chelalyyu therchakitty @juvinkainka,anaptiksis,,
chelalyyu,selalu,1,Febhi yanckh chelalyyu therchakitty @juvinkainka,anaptiksis,,
therchakitty,tersakiti,1,Febhi yanckh chelalyyu therchakitty @juvinkainka,anaptiksis,,
mauuuuu,mau,1,Ini yang gua mauuuuu ?? @raquellyndaf @nisaaxs,elongasi,,
kaliii,kali,1,Mau gtu juga kaliii @damanikyoga,elongasi,,
bangat,banget,1,Bangat ? @nadyaronhaziza,modifikasi vokal,,
bkin,bikin,1,Kak bkin video mail time bareng kak cassy dongg,abreviasi,,
dongg,dong,1,Kak bkin video mail time bareng kak cassy dongg,elongasi,,
yokkk,yuk,1,Yokkk buat @salsa_nafita @ersakusumara,elongasi,,
gini,begini,1,Gini yu ma wkk @nurrachmaniahm,abreviasi,,
yu,yuk,1,Gini yu ma wkk @nurrachmaniahm,zeroisasi,,
sweger,segar,1,Sweger @irfaul.izzi,anaptiksis,,
kereeen,keren,1,@hokyintan kereeen,elongasi,,
"gantengg,ganteng,1,""@sabithanurul24 @nadia_evelyn09 gantengg banget,pengen!"",elongasi,0,0;;",,,,,,
bingiit,banget,1,cocok.bingiit deh sama baby,modifikasi vokal,,
gak,enggak,1,gak mau kebukaaa @intansetyawatii,zeroisasi,,
kebukaaa,terbuka,1,gak mau kebukaaa @intansetyawatii,afiksasi,,
"tpi,tapi,1,""Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua..."",abreviasi,0,0;;",,,,,,
"keliatan,kelihatan,1,""Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua..."",zeroisasi,0,0;;",,,,,,
yakk,ya,1,Ini Ariana apa cincha loowrrr ????? Miripp banget yakk ??,anaptiksis,,
kayakk,kayak,1,Kayakk ariana asliii,elongasi,,
asliii,asli,1,Kayakk ariana asliii,elongasi,,
kyk,kayak,1,Kyk ariana grande..cntiknya,abreviasi,,
cntiknya,cantiknya,0,Kyk ariana grande..cntiknya,abreviasi,,
bat,banget,1,Mirip bat @arianagrande,abreviasi,,
"ga,enggak,1,""cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta"",abreviasi,zeroisasi,0;;",,,,,,
"ngeliatnya,melihatnya,0,""cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta"",afiksasi,0,0;;",,,,,,
"sll,selalu,1,""cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta"",abreviasi,0,0;;",,,,,,
bet,banget,1,Ariana grande bet njerr @rmutiaram,abreviasi,,
njerr,anjir,1,Ariana grande bet njerr @rmutiaram,zeroisasi,,
bingiiittttzzzz,banget,1,Arianaaa bingiiittttzzzz......,elongasi,,
bgt,banget,1,Mirip @arianagrande bgt!!!! ??,abreviasi,,
k,kak,1,K Cinta mirip ariana grande klo lg kaya gini..,abreviasi,,
klo,kalo,1,K Cinta mirip ariana grande klo lg kaya gini..,zeroisasi,,
lg,lagi,1,K Cinta mirip ariana grande klo lg kaya gini..,abreviasi,,
dooong,dong,1,Selfie bareng @arianagrande dooong,elongasi,,
masi,masih,1,Masi cantikan @claurakiehl  daripada ari.. ari is toooooo cute i think...,zeroisasi,,
gni,begini,1,Sis @ridhanisabrina wisudamu kaya gni aja simple,abreviasi,,
kek,kayak,1,Jilbabnya kek gini aja @andinadarsono,abreviasi,,
gini,begini,1,Jilbabnya kek gini aja @andinadarsono,abreviasi,,
aja,saja,1,Jilbabnya kek gini aja @andinadarsono,zeroisasi,,
udah,sudah,1,Aku udah ngescreenshot ini lama bgt padahal wkwk @ayichanja,zeroisasi,,
hdk,hendak,1,Hdk yg simple kyne z @fvtrisna,abreviasi,,
yg,yang,1,Hdk yg simple kyne z @fvtrisna,abreviasi,,
jugaa,juga,1,Itu simple banget kebayane jugaa wkwk @ridhanisabrina,elongasi,,
mksud,maksud,1,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna,abreviasi,,
aj,saja,1,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna,abreviasi,,
"tetep,tetap,1,""Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"",modifikasi vokal,0,0;;",,,,,,
"tp,tapi,1,""Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"",abreviasi,0,0;;",,,,,,
"mbakx,mbaknya,0,""Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"",word-value letter,0,0;;",,,,,,
"syantik,cantik,1,""Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"",subtitusi,anaptiksis,0;;",,,,,,
"syantik,cantik,1,""Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"",subtitusi,anaptiksis,0;;",,,,,,
"kite,kita,1,""Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"",modifikasi vokal,0,0;;",,,,,,
pa,apa,1,Pa kabar bu?? ??? @fvtrisna,zeroisasi,,
"mksd,maksud,1,""Apa mksd mengirimi foto ini, kyne kah kena model seragam kami @ana_rrr29 @rocky_lin"",abreviasi,0,0;;",,,,,,
bejilbbnya,berjilbabnya,0,Kd hahaaa... bagus sederhana bejilbbnya kytu aja te @vithapriani @rocky_lin,abreviasi,,
masio,masih,1,Lek selebgram kok mesti apik apik ae yo lek masio simple jilbab e @shovamardia,salah ketik,,
yahhh,ya,1,Iya yahhh @anifatasha,anaptiksis,,
makasih,terima kasih,1,Beb... aku mau make up se soft ini aja ya @syaekaokt makasih banyak beb,akronim,,
leh,boleh,1,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?,abreviasi,,
ugaaa,juga,1,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?,abreviasi,,
yah,ya,1,@vaaaasola8 yah mending putih tulang + maroon,anaptiksis,,
jerewi,jerawat,1,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha,coinage,,
ilang,hilang,1,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha,zeroisasi,,
jilbabnyaah,jilbabnya,0,Ntih ini yg opi bilang model jilbabnyaah tadi @rabiahidayantiarnan @megaiskanti @mutiaapriyeni @rozaliafransisca,anaptiksis,,
"kek,kayak,1,""Ya piiik, kek gini aja dah cantik,. @novitaresti @rozaliafransisca @mutiaapriyeni"",abreviasi,modifikasi vokal,0;;",,,,,,
